year,country,slug,source,source_type,match,confidence,section,subsection,method,sentence
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Executive Summary,,rules,"Significant human rights issues included credible reports of: arbitrary or unlawful killings; disappearances; torture or cruel, inhuman, or degrading treatment or punishment; serious abuses in a conflict; unlawful recruitment or use by the Taliban of children in armed conflict; serious restrictions on freedom of expression and media freedom, including violence or threats of violence against journalists and censorship; restrictions on religious freedom; trafficking in persons, including forced labor; significant restrictions on workers’ freedom of association; and the significant presence of the worst forms of child labor."
2024,Afghanistan,afghanistan,nongovernmental organization,unnamed/generic,generic,low,Executive Summary,,rules,"Armed groups threatened, robbed, kidnapped, and attacked foreigners, medical and nongovernmental organization workers, and other civilians."
2024,Afghanistan,afghanistan,human rights groups,unnamed/generic,generic,low,Section 1. Life,a. Extrajudicial Killings,rules,"There were numerous reports Taliban and ISIS-K members committed arbitrary and unlawful killings, many as retaliation against officials associated with the pre-August 2021 government, according to reports published by the UN Assistance Mission in Afghanistan (UNAMA), the UN special rapporteur on the situation of human rights in Afghanistan, and human rights groups."
2024,Afghanistan,afghanistan,human rights defenders,unnamed/generic,generic,low,Section 1. Life,a. Extrajudicial Killings,rules,"These killings have occurred in private homes, in public spaces and in detention facilities, and victims have included human rights defenders, lawyers, prosecutors, judges, students, teachers and police officers, many of them female.” The Taliban did not generally publicize efforts to hold its “police” or militia accountable for these abuses despite the Taliban’s August 2021 public commitment to a “general amnesty” for Republic-era government officials and members of the Afghan National Defense and Security Forces (ANDSF)."
2024,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 1. Life,a. Extrajudicial Killings,rules,Political and civil society activists claimed the Taliban frequently exacted revenge against ANDSF soldiers and Republic-era government employees by alleging an affiliation with ISIS-K.
2024,Afghanistan,afghanistan,SR Bennett,named (unclassified),pattern,medium,Section 1. Life,"c. War Crimes, Crimes against Humanity, and Evidence of Acts that May Constitute Genocide, or Conflict-Related",rules,"Acts that May Constitute Genocide, or Conflict-Related Abuses In a report released in June, SR Bennett found that the Taliban’s institutionalized system of oppression, established and enforced through its treatment of women and girls, was widespread and systematic, and appeared to constitute an attack on the entire civilian population, amounting to crimes against humanity."
2024,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,These limitations and restrictions led to the closure of several media outlets during the year.
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"According to reporting from UNAMA, media, and other sources, the Taliban used force against protesters and journalists and suppressed political discussion and dissent, which had a severe chilling effect on civil society."
2024,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"On August 25, media reported the Taliban detained and imprisoned a social media activist in Nangarhar Province for reportedly criticizing the Taliban’s rules against freedom of speech on the internet."
2024,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"A video published on social media showed the Taliban forcing the social media activist to confess, saying he would not make “negative propaganda” against the Taliban again."
